companyName,company_starRating,company_offeredRole,company_roleLocation,listing_jobDesc,requested_url,compensation_and_benefits,culture_and_values,career_opportunities,work_life_balance,job_type,industry,job_function,company_size,estimated_salary
Checkout.com,4.7,Data Scientist,"London, England","Work with distributed computing technologies (e.g. Spark, Dask) to: conduct exploratory analysis to test hypotheses, engineer ML features, and train/evaluate ML models Design, implement, and interpret experiments to produce actionable insights and improve model performance Write high-quality Python for feature engineering and model training Drive the collection of new data and enrichment of existing data sources At least 2 years experience developing machine learning models to solve business problems Strong understanding of: machine learning, probability and statistics Experience applying scientific methods and thoughtful experimental design Able to write high quality Python code Experience with SQL databases Experience working with Jupyter Notebooks Experience in fintech and/or payments Familair with distributed general-purpose cluster-computing (e.g. Spark, Dask, Hadoop) Experience with Docker Experience with AWS or at least another common cloud platform (GCP/Azure) Familiar with the unix shell and shell scripting (for automating tasks) Competitive Salary & Performance Bonus Cutting Edge Technology & Latest IT tools Company retreat (surprise annual trips) Flexible working, 24 days of paid leave and Birthday off Season Ticket Loan, Cycle to Work Scheme, comprehensive benefit plans Internal community groups and cultural events Employee-led community outreach, payroll giving and a volunteering day A global wellness programme and private health insurance Tailored career development and learning pathways Peer recognition program and quarterly Hero Awards Recruiter Screen Hiring Manager Screen Test Final Interview",https://www.glassdoor.com/partner/jobListing.htm?pos=107&ao=1044074&s=58&guid=0000017b56e3d10fa802c8f81aabc79a&src=GD_JOB_AD&t=SR&vt=w&cs=1_fe2783e8&cb=1629250376267&jobListingId=4105460929,4.5,4.7,4.6,4.3,Full-time,Finance,data scientist,1001 to 5000 Employees,NaN
Attest,4.9,"Data Scientist, Product","London, England","Build new capabilities that delight our customers and help them to gain valuable consumer insight more easily. Use NLP and deep learning techniques to understand consumer data, make predictions about their validity, and extend this to semantic analysis and entity recognition. Collaborate across the whole company to identify new use cases, develop ideas with our clients and create best-in-class products. Teach and mentor other data scientists in the team, and the wider company about your discipline. Build machine learning models and deliver them to our customers, working together with our engineers. Participate in engineering & product planning, stand-ups and retrospective meetings. You have some experience of working in industry outside academia, ideally around 2+ years You have experience developing and delivering production-ready data science projects in a high-growth commercial setting. You have good knowledge of Python, strong coding and software engineering skills and extensive experience with libraries and frameworks used for statistical modelling and machine learning. You have experience building data pipelines, a good knowledge of SQL and related technologies and are comfortable handling large scale datasets. You are a confident and thoughtful communicator, both verbally and in writing, able to adapt your style to connect with different audiences and in different contexts. You are a team player. You take a collaborative approach and enjoy contributing towards a culture of improvement. You are curious and possess rigour in your way of thinking, using data and your experience to make informed and balanced decisions. You ask thoughtful questions, and are naturally able to develop solutions from a position of insight and knowledge. A competitive salary that fairly recognises your experience and potential We're enthusiastic to offer all Attesters EMI share options in the company so that as the business succeeds, so do you! 25 days (UK) or 23 days (US) paid holiday per year. This is in addition to local public holidays and an additional 2 days off around the festive season To help you save for your retirement, you'll be auto-enrolled to our group pension plan when you join Once you've completed your first few months, you have the option to relocate temporarily (up to 6 months) or even permanently up to +/- 4 hours of London or New York using our International Mobility programme Support with remote and flexible working both whilst we navigate the world as it is now and in the long-term. We'll even give you £300 to set up your home office A generous career growth and development budget of £500 a year to support your learning Access to private and confidential coaching or counselling via Sanctus Spend up to 2 paid days per month - 10% time - focusing on your growth, giving back to your community or supporting your favourite charity 10 days paid sick leave a year - for your body and your mind 24/7 Employee Assistance Programme by Care First Your choice of equipment and access to great tools that support your productivity and impact An open, inclusive and supportive team where everyone is valued and all ideas and suggestions are welcomed",https://www.glassdoor.com/partner/jobListing.htm?pos=121&ao=1136006&s=58&guid=0000017b56e3d10fa802c8f81aabc79a&src=GD_JOB_AD&t=SR&vt=w&cs=1_2ff36d6d&cb=1629250376274&jobListingId=4072778366,4.5,4.9,4.9,4.5,Full-time,Business Services,data scientist,51 to 200 Employees,NaN
Metrica Recruitment,NaN,Data Scientist,"London, England","Proven commercial data science experience and has taken models into production Must have cloud experience, preferably AWS Marketing domain experience preferable, but not essential",https://www.glassdoor.com/partner/jobListing.htm?pos=105&ao=1044072&s=58&guid=0000017b56e3d10fa802c8f81aabc79a&src=GD_JOB_AD&t=SR&vt=w&cs=1_04bab95a&cb=1629250376267&jobListingId=4133857906,NaN,NaN,NaN,NaN,Full-time,Business Services,data scientist,1 to 50 Employees,"£40,000 - £60,768 (Glassdoor Est.)"
Capco,3.9,Data Scientist,"London, England","Solve challenging problems using data science and advanced machine learning methods. Apply data science techniques to process and wrangle data in preparation for analysis; and analyse big data and perform exploratory analysis to uncover insights and identify innovative opportunities. Leverage machine learning techniques, to explore and examine data from multiple disparate sources to provide a competitive advantage or address a pressing business problem. Define approaches to embed and scale machine learning models with senior data scientist oversight Assist on client pitches and proposals for machine learning projects Work on difficult engineering problems with scientists and business leaders with minimal engineering or data science backgrounds. Work with the data science team to build reusable assets, solutions and develop best practices for current and future business problems. Work with the engineering team to develop end to end production ML systems Staying up–to–date on the latest machine learning capabilities. Degree (BSc/MSc) in a numerate discipline Analytics, data science or software development experience. Experience with Python Proficiency in statistical modelling and machine learning techniques Experience using machine learning techniques to solve problems involving high-dimension unstructured data. Strong communication and presentation skills, including the ability to articulate complex data science concepts and translate analyses to non-technical audiences. Financial services industry experience Experience with data visualisation tools (Tableau, QlikView etc.) Experience with Data science toolkits for ML and deep learning (SparkML, Tensorflow, Keras) Exposure to cloud computing (GCP preferably, AWS, Azure) Bonus Scheme Private Pension Budget for Certifications Udemy Subscription MacBook Private Medical Insurance Life Insurance 2x Performance reviews p/a 40 hours minimum training allowance Hybrid working model Telephone call HR Interview Business Interview Case Study Offer",https://www.glassdoor.com/partner/jobListing.htm?pos=110&ao=1044074&s=58&guid=0000017b56e3d10fa802c8f81aabc79a&src=GD_JOB_AD&t=SR&vt=w&cs=1_a8bac939&cb=1629250376269&jobListingId=4160377092,3.8,3.9,3.8,3.7,Full-time,Business Services,data scientist,5001 to 10000 Employees,"£51,399 - £69,258 (Glassdoor Est.)"
Randstad Technologies,4.4,Data Scientist,"London, England","Strong programming experience in Python, R, or Matlab (and associated data science/machine learning libraries) Understanding of statistics and machine learning modelling A keen desire for continuous learning An excellent communicator to technical and non-technical stakeholders",https://www.glassdoor.com/partner/jobListing.htm?pos=102&ao=1044072&s=149&guid=0000017b56e3d10f911a59e4abe3dd2d&src=GD_JOB_AD&t=SRFJ&vt=w&cs=1_fb5454de&cb=1629250376266&jobListingId=4153984591,3.5,3.9,3.7,3.8,Full-time,Business Services,data scientist,10000+ Employees,NaN
Michael Page UK,3.5,Data Scientist,"London, England","Data Science role in Central Government Massive opportunity for machine learning projects Working collaboratively with other Data Scientists / Analysts to implement high-performance machine learning and statistical models into production. Working closely with customers and other professionals across the business to deliver innovative analytical tools, apps and policy insight into the business. Contributing to the strong cooperative working environment within the team and interacting positively with a variety of stakeholders to build community, capability and credibility. Using best practices such as version control, unit testing, code review, and well documented applications. Keeping abreast of data science wider landscape and emerging technologies, through commitment to Continued Professional Development of yourself and others;Championing data science. Technical data science skills that will add to our skill base and enable you to contribute actively to new projects such as Statistical programming, for example using tools like R, Python, or SQL A track record with data visualisation using tools like R, Python, PowerBI or Tableau Working knowledge of advanced analytics methods, for example machine learning, clustering, natural language processing or feature engineering Capability of version control of code and outputs, such as unit testing of code and outputs A track record of interactive dashboard building, using tools like R, Python, PowerBI or Tableau A track record of teaching data science skills to beginner users cloud computing, using platforms like Azure, AWS, or GCloud",https://www.glassdoor.com/partner/jobListing.htm?pos=101&ao=1044072&s=149&guid=0000017b56e3d10f911a59e4abe3dd2d&src=GD_JOB_AD&t=SRFJ&vt=w&cs=1_9dca4ed0&cb=1629250376265&jobListingId=4140031076,3.5,3.3,3.4,3.2,Full-time,Business Services,data scientist,201 to 500 Employees,"£32,309 - £43,647 (Glassdoor Est.)"
DT Resourcing Ltd,NaN,Data Scientist,"Malvern, England",Master's (preferred) No,https://www.glassdoor.com/partner/jobListing.htm?pos=111&ao=1044076&s=58&guid=0000017b56e3d10fa802c8f81aabc79a&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_07144fb6&cb=1629250376269&jobListingId=4163245628,NaN,NaN,NaN,NaN,Full-time,NaN,data scientist,NaN,"£33,334 - £46,484 (Glassdoor Est.)"
Harnham,4.0,Junior Data Scientist,"London, England","Build, implement, manage, and support data pipeline and reporting automation solutions Delivers process improvements to existing data processing and operational processes across the department Works with the Data Scientist on high profile Operations Transformational projects Provides analytical support for and insight into large scale big-data projects Is responsible for end to end data projects Provides analytical solutions for Product Owners Manage ad hoc analysis requests, preparation and presentation of insights leveraging wider quality teams' expertise to help answer business stakeholder questions and support their objectives. Develops dashboards for monitoring performance and quality across the different panels and processes Multiple years of experience analysing high volume disaggregated data is essential Experience working as an analyst, data processor or data scientist in a commercial or academic capacity Knowledge of foundational data analysis methods: data cleaning, summary statistics, validation, handling outliers, data visualisation Ability to write complex SQL queries in at least one SQL variant (Oracle, MS Server) and deep understanding of aggregate functions, joins, subqueries You have an analytical background and recent experience in business intelligence (Power BI preferred) and data storytelling (visual communication, dashboard design) Experience with standard Python Machine Learning and data analysis stack (Pandas, NumPy, SciPy, Scikit-learn, etc.) Understanding of how and when to apply predictive and machine learning techniques Degree level or higher in a STEM subject",https://www.glassdoor.com/partner/jobListing.htm?pos=125&ao=1136006&s=58&guid=0000017b56e3d10fa802c8f81aabc79a&src=GD_JOB_AD&t=SR&vt=w&cs=1_e74c6794&cb=1629250376275&jobListingId=4121045569,3.3,3.9,4.0,3.0,Full-time,Business Services,data scientist,51 to 200 Employees,NaN
Salt Recruitment,3.5,Data Scientist,England,"Consult global personalisation & market consumer journey optimisation team to define clear objectives and formulate data science a problem statement Identify and create relevant features in alignment with the business hypothesis for training classification models Train & deploy ML models on AWS big data platform to identify visitors (consumers on .com) who are likely to enrol in the membership program Identify features that drive visitors to sign-up for the membership program through feature interpretability of ML models Iterate with business stakeholders to deliver a list of data driven business hypothesis for personalisation opportunities focused on acquisition 5+ years of experience in a digital and/or eCommerce environment in data science Excellent coding skills using common data science tool kits including Python Excellent knowledge in applied statistics, distributions, statistical testing, data mining, feature engineering, model interpretability, machine learning & deep learning models Experience in working with Clickstream data and cloud platform (AWS preferred)",https://www.glassdoor.com/partner/jobListing.htm?pos=127&ao=1136006&s=58&guid=0000017b56e3d10fa802c8f81aabc79a&src=GD_JOB_AD&t=SR&vt=w&cs=1_ea2b9fc3&cb=1629250376275&jobListingId=4132339265,3.4,3.3,3.5,3.2,Full-time,Business Services,data scientist,201 to 500 Employees,NaN
MOLOCO,4.2,Data Scientist - UK,"London, England","Data Analysis: writing queries, scripts, and producing figures which provide insights into campaign performance by campaign, or by metric across campaigns. Data validation: verifying the data we obtain from ad exchange and the third party mobile app tracking solutions so that our campaign models get trained with accurate data. Campaign optimization: engaging in the life cycle of campaigns from building the initial lookalike model, monitoring daily performance, and advancing machine learning models. Working cross-functionally to support campaign management by communicating results, requesting additional resources, and improving our product to help meet our client's needs. Education & Experience: Master's degree in data related field required, and 2 years of relevant industry experience post graduation. Statistics: must have strong experience in experimental design, A/B testing, linear/logistic regression, hypothesis testing Machine Learning: must be comfortable with basics of model creation, evaluation, and deployment. Programming: experience in Python and SQL required. Cloud Computing: experience with GCP Big Query and Looker a plus. Ability to manage multiple projects at the same time while paying attention to detail. Proven track record of ability to take ownership of tasks and projects and come up with creative solutions, rather than simply completing delegated tasks. Excellent verbal and written communication skills, with ability to present information and analysis results smoothly and fluently. Ability to relate well to others and build functional and positive relationships within our team and with cross functional stakeholders. Prior experience adapting to a steep learning curve and a high volume of new domain specific information, especially if no experience in ad tech. Experience with automation is a plus as we streamline our campaign management.",https://www.glassdoor.com/partner/jobListing.htm?pos=130&ao=1136006&s=58&guid=0000017b56e3d10fa802c8f81aabc79a&src=GD_JOB_AD&t=SR&vt=w&cs=1_b0c35f7a&cb=1629250376275&jobListingId=3682601349,3.9,3.6,4.4,3.7,Full-time,Business Services,data scientist,51 to 200 Employees,NaN
